trade_id,trade_date,settle_date,asset_class,counterparty,side,quantity,price,notional,status,fail_reason,days_to_resolve,actual_settle_date,fail_status,days_late,aging_bucket,estimated_cost
T100065,2026-03-30,2026-03-31,ETF,Palisade Trading Group,Sell,15138,36.71,555733.55,Settled On Time,,,,N/A,0.0,,0.0
T100066,2026-08-25,2026-08-26,ETF,Palisade Trading Group,Sell,2436,183.51,447033.13,Settled On Time,,,,N/A,0.0,,0.0
T100067,2026-04-06,2026-04-07,Equity,Ashford Securities,Sell,12239,48.57,594415.9,Settled On Time,,,,N/A,0.0,,0.0
T100068,2026-07-31,2026-08-03,Equity,Everline Global Markets,Sell,19842,101.31,2010186.51,Settled On Time,,,,N/A,0.0,,0.0
T100069,2026-07-29,2026-07-30,Equity,Quorum Custody Bank,Buy,12840,15.88,203841.01,Settled On Time,,,,N/A,0.0,,0.0
T100070,2026-03-30,2026-03-31,Equity,Greystone Trading LLC,Buy,11217,25.61,287245.73,Settled On Time,,,,N/A,0.0,,0.0
T100071,2026-02-27,2026-03-02,Equity,Ironwood Clearing,Sell,17138,22.81,390950.07,Settled On Time,,,,N/A,0.0,,0.0
T100072,2026-07-09,2026-07-10,Government Bond,Ashford Securities,Sell,1850715,98.81,182876295.54,Settled On Time,,,,N/A,0.0,,0.0
T100073,2026-08-03,2026-08-04,Equity,Northbridge Prime Services,Sell,594,192.63,114424.18,Settled On Time,,,,N/A,0.0,,0.0
T100074,2026-07-06,2026-07-07,Equity,Bellwether Capital Partners,Buy,1799,224.24,403404.11,Settled On Time,,,,N/A,0.0,,0.0
T100075,2026-03-09,2026-03-10,Equity,Fenwick Custody Solutions,Buy,19806,32.66,646817.84,Settled On Time,,,,N/A,0.0,,0.0
T100076,2026-06-23,2026-06-24,Equity,Journeyman Capital,Buy,18001,81.91,1474502.75,Settled On Time,,,,N/A,0.0,,0.0
T100077,2026-05-07,2026-05-11,Corporate Bond,Palisade Trading Group,Buy,420167,102.21,42947045.68,Settled On Time,,,,N/A,0.0,,0.0
T100078,2026-08-11,2026-08-12,ETF,Journeyman Capital,Sell,3024,29.73,89918.63,Settled On Time,,,,N/A,0.0,,0.0
T100079,2026-07-21,2026-07-23,Corporate Bond,Thornfield Global Clearing,Sell,1368144,96.98,132682254.44,Settled On Time,,,,N/A,0.0,,0.0
T100080,2026-07-21,2026-07-23,Corporate Bond,Kestrel Institutional Brokers,Buy,355385,100.17,35599069.74,Settled On Time,,,,N/A,0.0,,0.0
T100081,2026-05-11,2026-05-12,Equity,Fenwick Custody Solutions,Sell,11145,67.74,754937.27,Settled On Time,,,,N/A,0.0,,0.0
T100082,2026-04-24,2026-04-28,Corporate Bond,Dunmore & Co.,Buy,247934,101.04,25050411.54,Settled On Time,,,,N/A,0.0,,0.0
T100083,2026-07-24,2026-07-27,Equity,Palisade Trading Group,Sell,1809,44.86,81143.48,Settled On Time,,,,N/A,0.0,,0.0
T100084,2026-03-18,2026-03-19,Equity,Journeyman Capital,Sell,3877,17.48,67783.45,Settled On Time,,,,N/A,0.0,,0.0
T100085,2026-03-16,2026-03-17,Equity,Meridian Capital Partners,Buy,14931,274.58,4099680.82,Settled On Time,,,,N/A,0.0,,0.0
T100086,2026-03-10,2026-03-12,Corporate Bond,Harborview Asset Services,Sell,1394495,96.7,134851074.8,Settled On Time,,,,N/A,0.0,,0.0
T100087,2026-05-28,2026-05-29,ETF,Fenwick Custody Solutions,Sell,6680,60.21,402185.88,Settled On Time,,,,N/A,0.0,,0.0
T100088,2026-03-11,2026-03-12,Equity,Lindenmoor Securities,Sell,4690,15.31,71824.31,Settled On Time,,,,N/A,0.0,,0.0
T100089,2026-06-11,2026-06-12,ETF,Fenwick Custody Solutions,Buy,7637,77.58,592451.91,Settled On Time,,,,N/A,0.0,,0.0
T100090,2026-03-27,2026-03-30,Equity,Thornfield Global Clearing,Buy,11821,63.34,748709.58,Settled On Time,,,,N/A,0.0,,0.0
T100091,2026-08-05,2026-08-07,Corporate Bond,Oakferry Markets,Buy,1905290,100.59,191656129.72,Settled On Time,,,,N/A,0.0,,0.0
T100092,2026-05-14,2026-05-15,Equity,Quorum Custody Bank,Sell,15174,34.7,526507.22,Settled On Time,,,,N/A,0.0,,0.0
T100093,2026-03-16,2026-03-17,Equity,Fenwick Custody Solutions,Sell,8180,110.57,904457.28,Settled On Time,,,,N/A,0.0,,0.0
T100094,2026-07-01,2026-07-02,Equity,Ashford Securities,Buy,9471,98.71,934860.36,Settled On Time,,,,N/A,0.0,,0.0
T100095,2026-04-28,2026-04-30,Corporate Bond,Ashford Securities,Buy,266230,103.39,27524480.42,Settled On Time,,,,N/A,0.0,,0.0
T100096,2026-04-14,2026-04-15,Equity,Ridgeline Brokerage,Sell,18477,27.52,508445.14,Settled On Time,,,,N/A,0.0,,0.0
T100097,2026-06-25,2026-06-26,Equity,Ridgeline Brokerage,Buy,19609,31.4,615786.21,Settled On Time,,,,N/A,0.0,,0.0
T100098,2026-08-18,2026-08-19,Equity,Northbridge Prime Services,Sell,9185,18.45,169434.38,Settled On Time,,,,N/A,0.0,,0.0
T100099,2026-08-21,2026-08-24,Government Bond,Lindenmoor Securities,Buy,1993681,94.68,188766238.6,Settled On Time,,,,N/A,0.0,,0.0
T100100,2026-05-15,2026-05-18,Government Bond,Everline Global Markets,Sell,1803553,99.15,178821730.7,Settled On Time,,,,N/A,0.0,,0.0
T100101,2026-07-29,2026-07-31,Corporate Bond,Palisade Trading Group,Buy,1321376,98.3,129888476.92,Settled On Time,,,,N/A,0.0,,0.0
T100102,2026-04-06,2026-04-07,Equity,Kestrel Institutional Brokers,Sell,4160,62.57,260310.7,Settled On Time,,,,N/A,0.0,,0.0
T100103,2026-07-29,2026-07-30,Government Bond,Meridian Capital Partners,Buy,238603,99.98,23855663.01,Settled On Time,,,,N/A,0.0,,0.0
T100104,2026-08-14,2026-08-18,Corporate Bond,Ashford Securities,Buy,1073854,94.33,101299772.35,Settled On Time,,,,N/A,0.0,,0.0
T100105,2026-05-29,2026-06-02,Corporate Bond,Kestrel Institutional Brokers,Buy,1911503,100.02,191184290.99,Settled On Time,,,,N/A,0.0,,0.0
T100106,2026-06-01,2026-06-02,Equity,Northbridge Prime Services,Buy,592,89.8,53163.15,Settled On Time,,,,N/A,0.0,,0.0
T100107,2026-06-08,2026-06-09,Equity,Palisade Trading Group,Buy,3688,40.08,147808.78,Settled On Time,,,,N/A,0.0,,0.0
T100108,2026-03-11,2026-03-12,Equity,Caldera Prime Brokerage,Sell,10459,46.0,481111.91,Settled On Time,,,,N/A,0.0,,0.0
T100109,2026-07-30,2026-07-31,Government Bond,Ashford Securities,Sell,1444732,105.42,152305744.36,Settled On Time,,,,N/A,0.0,,0.0
T100110,2026-07-09,2026-07-10,ETF,Ridgeline Brokerage,Sell,14929,21.89,326787.87,Settled On Time,,,,N/A,0.0,,0.0
T100111,2026-08-03,2026-08-04,Equity,Greystone Trading LLC,Buy,19596,207.57,4067639.62,Settled On Time,,,,N/A,0.0,,0.0
T100112,2026-03-18,2026-03-19,Equity,Journeyman Capital,Buy,10695,105.15,1124555.01,Settled On Time,,,,N/A,0.0,,0.0
T100113,2026-07-21,2026-07-22,ETF,Meridian Capital Partners,Sell,18820,32.11,604247.68,Settled On Time,,,,N/A,0.0,,0.0
T100114,2026-05-01,2026-05-04,Equity,Journeyman Capital,Buy,19664,140.25,2757900.17,Settled On Time,,,,N/A,0.0,,0.0
T100115,2026-07-23,2026-07-24,Government Bond,Sable Point Capital,Sell,1627106,96.7,157336419.89,Settled On Time,,,,N/A,0.0,,0.0
T100116,2026-08-25,2026-08-27,Corporate Bond,Quorum Custody Bank,Buy,1908604,97.53,186146831.27,Settled On Time,,,,N/A,0.0,,0.0
T100117,2026-08-04,2026-08-06,Corporate Bond,Harborview Asset Services,Buy,1131376,100.04,113186539.04,Failed,Corporate Action Conflict,6.0,2026-08-12,Resolved,6.0,6-10 days,99981.44
T100118,2026-08-11,2026-08-12,Equity,Dunmore & Co.,Buy,14913,11.37,169491.38,Settled On Time,,,,N/A,0.0,,0.0
T100119,2026-03-18,2026-03-20,Corporate Bond,Thornfield Global Clearing,Buy,1771430,96.97,171781858.94,Settled On Time,,,,N/A,0.0,,0.0
T100120,2026-04-27,2026-04-28,ETF,Oakferry Markets,Buy,11935,39.64,473046.41,Settled On Time,,,,N/A,0.0,,0.0
T100121,2026-04-20,2026-04-22,Corporate Bond,Palisade Trading Group,Buy,412614,99.68,41130566.58,Settled On Time,,,,N/A,0.0,,0.0
T100122,2026-05-29,2026-06-01,Equity,Journeyman Capital,Sell,1708,80.08,136777.77,Settled On Time,,,,N/A,0.0,,0.0
T100123,2026-08-20,2026-08-21,Equity,Journeyman Capital,Sell,7229,65.1,470624.92,Settled On Time,,,,N/A,0.0,,0.0
T100124,2026-06-30,2026-07-01,Equity,Dunmore & Co.,Sell,11673,22.73,265307.29,Settled On Time,,,,N/A,0.0,,0.0
T100125,2026-06-04,2026-06-05,ETF,Ironwood Clearing,Sell,4603,99.82,459457.02,Settled On Time,,,,N/A,0.0,,0.0
T100126,2026-07-21,2026-07-22,Equity,Kestrel Institutional Brokers,Buy,1571,26.29,41305.01,Settled On Time,,,,N/A,0.0,,0.0
T100127,2026-03-30,2026-03-31,Equity,Caldera Prime Brokerage,Buy,482,46.86,22584.95,Settled On Time,,,,N/A,0.0,,0.0
T100128,2026-06-25,2026-06-26,Equity,Meridian Capital Partners,Sell,7054,21.34,150535.35,Settled On Time,,,,N/A,0.0,,0.0
T100129,2026-05-27,2026-05-28,ETF,Meridian Capital Partners,Buy,13254,40.19,532622.0,Settled On Time,,,,N/A,0.0,,0.0
T100130,2026-04-03,2026-04-06,Equity,Quorum Custody Bank,Sell,17887,31.22,558348.89,Settled On Time,,,,N/A,0.0,,0.0
T100131,2026-06-23,2026-06-24,Government Bond,Bellwether Capital Partners,Buy,445579,102.39,45623620.19,Settled On Time,,,,N/A,0.0,,0.0
T100132,2026-07-28,2026-07-29,ETF,Everline Global Markets,Buy,14063,19.98,280960.66,Settled On Time,,,,N/A,0.0,,0.0
T100133,2026-07-24,2026-07-27,Equity,Ironwood Clearing,Sell,12091,39.52,477873.59,Settled On Time,,,,N/A,0.0,,0.0
T100134,2026-07-28,2026-07-29,ETF,Ridgeline Brokerage,Sell,1780,18.68,33248.69,Settled On Time,,,,N/A,0.0,,0.0
T100135,2026-07-22,2026-07-23,Equity,Everline Global Markets,Buy,10511,81.57,857383.92,Settled On Time,,,,N/A,0.0,,0.0
T100136,2026-05-21,2026-05-22,Government Bond,Thornfield Global Clearing,Sell,1001696,100.4,100572297.61,Settled On Time,,,,N/A,0.0,,0.0
T100137,2026-03-06,2026-03-09,ETF,Thornfield Global Clearing,Sell,18399,31.92,587218.39,Settled On Time,,,,N/A,0.0,,0.0
T100138,2026-08-19,2026-08-21,Corporate Bond,Bellwether Capital Partners,Buy,1186229,103.18,122397096.97,Settled On Time,,,,N/A,0.0,,0.0
T100139,2026-05-19,2026-05-20,Equity,Harborview Asset Services,Sell,10940,33.29,364184.86,Settled On Time,,,,N/A,0.0,,0.0
T100140,2026-06-19,2026-06-22,ETF,Fenwick Custody Solutions,Buy,10273,19.24,197639.2,Settled On Time,,,,N/A,0.0,,0.0
T100141,2026-03-02,2026-03-03,ETF,Journeyman Capital,Sell,15720,93.51,1469950.83,Settled On Time,,,,N/A,0.0,,0.0
T100142,2026-08-05,2026-08-06,Government Bond,Sable Point Capital,Buy,114529,106.2,12163236.68,Settled On Time,,,,N/A,0.0,,0.0
T100143,2026-08-05,2026-08-06,ETF,Harborview Asset Services,Buy,1120,96.11,107642.65,Settled On Time,,,,N/A,0.0,,0.0
T100144,2026-08-12,2026-08-13,ETF,Northbridge Prime Services,Buy,18964,54.87,1040525.26,Settled On Time,,,,N/A,0.0,,0.0
T100145,2026-03-30,2026-03-31,Equity,Caldera Prime Brokerage,Buy,10950,39.92,437148.64,Settled On Time,,,,N/A,0.0,,0.0
T100146,2026-07-28,2026-07-29,Equity,Lindenmoor Securities,Buy,16955,111.84,1896181.65,Settled On Time,,,,N/A,0.0,,0.0
T100147,2026-06-18,2026-06-19,ETF,Harborview Asset Services,Buy,19449,45.41,883256.08,Settled On Time,,,,N/A,0.0,,0.0
T100148,2026-03-24,2026-03-25,Equity,Sable Point Capital,Sell,6458,15.88,102548.76,Settled On Time,,,,N/A,0.0,,0.0
T100149,2026-06-09,2026-06-10,Equity,Palisade Trading Group,Sell,5477,64.01,350604.21,Settled On Time,,,,N/A,0.0,,0.0
T100150,2026-05-22,2026-05-26,Corporate Bond,Everline Global Markets,Sell,344671,99.42,34266018.63,Settled On Time,,,,N/A,0.0,,0.0
T100151,2026-06-18,2026-06-19,Government Bond,Meridian Capital Partners,Buy,1341928,100.03,134227240.7,Settled On Time,,,,N/A,0.0,,0.0
T100152,2026-03-12,2026-03-13,Equity,Greystone Trading LLC,Buy,5738,71.71,411452.39,Settled On Time,,,,N/A,0.0,,0.0
T100153,2026-06-08,2026-06-09,ETF,Ironwood Clearing,Buy,18880,91.75,1732326.76,Settled On Time,,,,N/A,0.0,,0.0
T100154,2026-06-29,2026-06-30,Equity,Journeyman Capital,Buy,11428,73.1,835346.48,Settled On Time,,,,N/A,0.0,,0.0
T100155,2026-07-06,2026-07-08,Corporate Bond,Quorum Custody Bank,Buy,59704,94.55,5645165.25,Settled On Time,,,,N/A,0.0,,0.0
T100156,2026-07-15,2026-07-16,Equity,Fenwick Custody Solutions,Buy,5436,38.44,208950.04,Settled On Time,,,,N/A,0.0,,0.0
T100157,2026-06-18,2026-06-22,Corporate Bond,Ashford Securities,Sell,1538099,100.63,154774567.17,Settled On Time,,,,N/A,0.0,,0.0
T100158,2026-07-02,2026-07-06,Corporate Bond,Dunmore & Co.,Sell,1134708,99.56,112971211.43,Settled On Time,,,,N/A,0.0,,0.0
T100159,2026-03-13,2026-03-17,Corporate Bond,Quorum Custody Bank,Sell,10214,100.14,1022826.7,Settled On Time,,,,N/A,0.0,,0.0
T100160,2026-07-20,2026-07-21,Equity,Fenwick Custody Solutions,Buy,19514,25.91,505591.03,Settled On Time,,,,N/A,0.0,,0.0
T100161,2026-05-04,2026-05-05,Government Bond,Bellwether Capital Partners,Sell,1202229,99.35,119436275.01,Settled On Time,,,,N/A,0.0,,0.0
T100162,2026-06-04,2026-06-05,Equity,Ironwood Clearing,Sell,13825,158.17,2186678.26,Settled On Time,,,,N/A,0.0,,0.0
T100163,2026-06-04,2026-06-05,Equity,Ridgeline Brokerage,Sell,6341,29.98,190088.49,Settled On Time,,,,N/A,0.0,,0.0
T100164,2026-08-20,2026-08-21,ETF,Ridgeline Brokerage,Sell,10627,89.13,947212.76,Settled On Time,,,,N/A,0.0,,0.0
T100165,2026-04-24,2026-04-27,Equity,Sable Point Capital,Sell,5283,24.98,131969.84,Settled On Time,,,,N/A,0.0,,0.0
T100166,2026-05-06,2026-05-08,Corporate Bond,Northbridge Prime Services,Sell,1616285,102.42,165539246.17,Settled On Time,,,,N/A,0.0,,0.0
T100167,2026-07-14,2026-07-16,Corporate Bond,Quorum Custody Bank,Sell,1751815,97.92,171546123.33,Settled On Time,,,,N/A,0.0,,0.0
T100168,2026-06-19,2026-06-22,Equity,Palisade Trading Group,Buy,8778,55.38,486087.89,Settled On Time,,,,N/A,0.0,,0.0
T100169,2026-04-24,2026-04-27,Government Bond,Ashford Securities,Buy,369647,102.04,37718718.64,Settled On Time,,,,N/A,0.0,,0.0
T100170,2026-04-29,2026-04-30,Equity,Ironwood Clearing,Buy,17213,32.54,560191.81,Settled On Time,,,,N/A,0.0,,0.0
T100171,2026-07-24,2026-07-27,ETF,Kestrel Institutional Brokers,Buy,2361,27.37,64612.61,Settled On Time,,,,N/A,0.0,,0.0
T100172,2026-07-27,2026-07-28,Equity,Journeyman Capital,Sell,19885,113.93,2265449.37,Settled On Time,,,,N/A,0.0,,0.0
T100173,2026-03-24,2026-03-25,Government Bond,Quorum Custody Bank,Sell,361717,100.97,36521356.8,Settled On Time,,,,N/A,0.0,,0.0
T100174,2026-05-08,2026-05-11,Equity,Thornfield Global Clearing,Buy,10692,45.35,484866.41,Settled On Time,,,,N/A,0.0,,0.0
T100175,2026-07-15,2026-07-16,Equity,Kestrel Institutional Brokers,Sell,2973,124.75,370889.07,Settled On Time,,,,N/A,0.0,,0.0
T100176,2026-03-19,2026-03-20,Equity,Bellwether Capital Partners,Buy,951,74.75,71086.76,Settled On Time,,,,N/A,0.0,,0.0
T100177,2026-03-31,2026-04-01,Government Bond,Harborview Asset Services,Sell,443739,102.31,45397624.63,Failed,DK - Trade/Documentation Discrepancy,1.0,2026-04-02,Resolved,1.0,1-2 days,6683.54
T100178,2026-03-26,2026-03-27,Government Bond,Dunmore & Co.,Sell,1265831,101.18,128081539.58,Settled On Time,,,,N/A,0.0,,0.0
T100179,2026-06-02,2026-06-04,Corporate Bond,Journeyman Capital,Buy,802348,98.64,79140297.27,Settled On Time,,,,N/A,0.0,,0.0
T100180,2026-05-19,2026-05-20,Government Bond,Everline Global Markets,Buy,1116495,95.07,106149195.4,Settled On Time,,,,N/A,0.0,,0.0
T100181,2026-04-24,2026-04-27,Government Bond,Bellwether Capital Partners,Sell,1037671,101.07,104873659.19,Settled On Time,,,,N/A,0.0,,0.0
T100182,2026-03-23,2026-03-24,ETF,Dunmore & Co.,Buy,9084,30.15,273843.1,Settled On Time,,,,N/A,0.0,,0.0
T100183,2026-06-22,2026-06-23,Equity,Journeyman Capital,Buy,11514,41.61,479055.44,Settled On Time,,,,N/A,0.0,,0.0
T100184,2026-07-22,2026-07-24,Corporate Bond,Caldera Prime Brokerage,Sell,68716,96.41,6625028.12,Settled On Time,,,,N/A,0.0,,0.0
T100185,2026-04-06,2026-04-08,Corporate Bond,Ashford Securities,Sell,597949,100.08,59842782.06,Settled On Time,,,,N/A,0.0,,0.0
